id,category,reviewTag*,desc,linkToRepository,linkToOpenedIssue,fixed (y/n/m),cd-linter-bug,comment-labels,fix-labels,reaction,lastChecked,state,isAssigned,numUpvotes,numDownvotes,numComments,label*,monitoringTag*,contributors,contributorsSinceIssue,commitsSinceIssue,resolution-time
mauriciobaeza__empresa-libre__Versioning__requirementstxt__falcon__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/mauriciobaeza/empresa-libre,omitted,,,,,,200205-180809,deleted,FALSE,0,0,0,NULL,reaction:negative,-1,-1,-1,
deltares__rtc-tools__Versioning__gitlabyaml__codecov__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/deltares/rtc-tools,omitted,n,pip-install,,,,200205-180809,closed,FALSE,0,0,0,NULL,reaction:negative,12,4,76,
flatiron-dc__learning-git2__Job-Retry__s3-branch-deployment,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/flatiron-dc/learning-git2,omitted,,,,,,200205-180811,opened,FALSE,0,0,0,NULL,NULL,8,0,0,
indybay__indybay-active__Manual-Job__build,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/indybay/indybay-active,omitted,n,deploy-phase,,,,200205-180813,closed,FALSE,0,0,0,NULL,reaction:negative,5,2,22,
harbottle__puppet-mattermost__Manual-Job__push,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/harbottle/puppet-mattermost,omitted,n,deploy-phase,,,,200205-180816,closed,FALSE,0,0,0,NULL,NULL,11,3,17,
agrumery__aGrUM__Job-Retry__windows_agrum_2017,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/agrumery/aGrUM,omitted,y,,,temporary-smell,positive,200205-180818,closed,TRUE,0,0,1,NULL,decision:pending,24,7,187,9993338524
sofreeus__aghi2gitlab__Manual-Job__dev,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/sofreeus/aghi2gitlab,omitted,,,,,,200205-180821,opened,FALSE,0,0,0,NULL,NULL,5,0,0,
georgedorn__wonambi__Versioning__gitlabyaml__coverage__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/georgedorn/wonambi,omitted,,,,,,200205-180821,opened,FALSE,0,0,0,NULL,NULL,3,0,0,
fluidattacks__asserts__Job-Retry__test,Job-Retry,always,DROPPED FOR NOW,https://gitlab.com/fluidattacks/asserts,omitted,y,,"use-in-paper, remove-all",,positive,200205-180831,closed,TRUE,2,0,3,NULL,use-in-paper,19,7,492,40597408
vuedoc__parser__Job-Allow-Failure__security-scan,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/vuedoc/parser,omitted,,,,,,200205-180824,closed,TRUE,1,0,2,NULL,decision:accept,6,0,0,
postmarketOS__build-postmarketos-org__Manual-Job__test-phpcs,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/postmarketOS/build.postmarketos.org,omitted,y,,,job-removed,positive,200205-180841,closed,FALSE,0,0,3,NULL,long-lived-branch,3,3,315,4412981296
coala__package_manager__Versioning__requirementstxt__hg-https---bitbucket-org-jayvdb-sarge-win-reg-lookup-egg-sarge__missing,Versioning,missing,DROPPED FOR NOW,https://gitlab.com/coala/package_manager,omitted,,,,,,200205-180826,opened,FALSE,0,1,1,NULL,decision:reject,32,0,0,
jonocarroll__mathpix__Job-Allow-Failure__r-oldrel,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/jonocarroll/mathpix,omitted,,,,,,200205-180827,opened,FALSE,0,0,0,NULL,NULL,1,0,0,
Orange-OpenSource__gitlab-buildpkg-tools__Manual-Job__build_ubuntu_artful,Manual-Job,NULL,DROPPED FOR NOW,https://gitlab.com/Orange-OpenSource/gitlab-buildpkg-tools,omitted,n,,,,,200205-180845,closed,FALSE,1,0,0,NULL,NULL,7,7,99,
pushrocks__smartcli__Job-Allow-Failure__pages,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/pushrocks/smartcli,omitted,,,,,,200205-180830,closed,FALSE,0,0,0,NULL,decision:ignored,8,0,0,
neachdainn__nng-rs__Job-Allow-Failure__nightly,Job-Allow-Failure,NULL,DROPPED FOR NOW,https://gitlab.com/neachdainn/nng-rs,omitted,n,,"nightly-build, no-trust, flaky-tool",,reject,200205-180847,closed,FALSE,0,2,5,NULL,decision:reject,5,3,35,
